Age,Accuracy_Audio,Accuracy_Comprehension,Accuracy_Image,Time_Audio,Time_Comprehension,Time_Image,Learning_Type
11,78,67,74,95,258,299,Auditory Learner
13,27,46,40,33,164,348,Comprehensive Learner
11,72,5,32,32,566,181,Auditory Learner
14,1,27,86,288,388,232,Visual Learner
12,16,29,11,232,367,89,Comprehensive Learner
11,57,26,1,269,281,278,Auditory Learner
12,73,68,20,122,86,274,Auditory Learner
13,8,38,13,52,210,358,Comprehensive Learner
11,30,34,33,116,232,89,Comprehensive Learner
11,65,43,78,80,81,132,Visual Learner
13,87,14,84,72,453,287,Auditory Learner
13,61,82,63,233,106,369,Comprehensive Learner
11,18,93,22,87,184,381,Comprehensive Learner
12,80,31,84,88,394,281,Visual Learner
13,73,28,49,197,354,136,Auditory Learner
10,54,62,13,203,596,139,Comprehensive Learner
10,27,5,84,236,597,393,Visual Learner
11,91,89,75,140,356,266,Auditory Learner
12,49,26,45,52,103,194,Auditory Learner
13,64,98,4,262,81,69,Comprehensive Learner
15,2,27,65,201,285,199,Visual Learner
14,78,4,21,40,433,250,Auditory Learner
12,51,40,69,89,63,317,Visual Learner
12,9,55,1,261,83,252,Comprehensive Learner
10,20,53,28,264,381,108,Comprehensive Learner
12,36,79,60,32,598,188,Comprehensive Learner
12,14,17,99,173,431,295,Visual Learner
13,86,76,70,259,424,95,Auditory Learner
11,77,42,15,38,128,379,Auditory Learner
14,78,88,63,222,531,269,Comprehensive Learner
16,73,73,96,156,564,198,Visual Learner
12,8,28,96,77,372,396,Visual Learner
13,43,9,13,136,131,134,Auditory Learner
14,38,5,42,293,305,278,Visual Learner
12,4,79,75,282,132,210,Comprehensive Learner
13,24,88,42,56,587,255,Comprehensive Learner
13,55,3,69,38,99,285,Visual Learner
13,89,100,54,249,98,185,Comprehensive Learner
11,63,33,75,187,115,324,Visual Learner
13,71,82,30,43,231,163,Comprehensive Learner
13,85,32,75,58,361,228,Auditory Learner
15,51,3,73,55,549,346,Visual Learner
14,88,43,39,243,491,371,Auditory Learner
17,75,97,26,172,63,307,Comprehensive Learner
11,8,75,51,144,320,132,Comprehensive Learner
14,9,30,6,247,469,228,Comprehensive Learner
13,9,79,45,110,324,110,Comprehensive Learner
17,72,65,99,230,74,183,Visual Learner
11,61,57,32,96,147,167,Auditory Learner
11,89,59,90,278,158,51,Visual Learner
11,98,1,7,173,276,357,Auditory Learner
8,90,35,4,170,469,252,Auditory Learner
11,59,69,60,125,250,99,Comprehensive Learner
11,94,59,71,147,274,376,Auditory Learner
13,18,22,59,214,86,323,Visual Learner
13,37,46,84,274,241,359,Visual Learner
16,5,100,23,230,218,134,Comprehensive Learner
14,14,45,6,139,289,111,Comprehensive Learner
11,92,79,60,241,294,149,Auditory Learner
11,46,43,82,288,445,321,Visual Learner
13,44,18,94,193,589,151,Visual Learner
10,4,48,35,126,343,198,Comprehensive Learner
16,77,87,26,239,130,250,Comprehensive Learner
15,52,57,28,65,563,290,Comprehensive Learner
12,65,90,86,295,274,366,Comprehensive Learner
9,61,6,19,129,176,152,Auditory Learner
15,22,93,69,50,159,44,Comprehensive Learner
12,43,40,75,246,354,180,Visual Learner
15,51,77,75,133,236,377,Comprehensive Learner
9,45,14,2,141,191,282,Auditory Learner
11,18,75,38,248,116,158,Comprehensive Learner
13,87,52,98,149,72,345,Visual Learner
13,83,92,82,278,252,167,Comprehensive Learner
12,46,22,44,125,569,123,Auditory Learner
14,90,76,67,217,212,283,Auditory Learner
10,51,72,30,173,82,152,Comprehensive Learner
12,23,87,37,57,89,203,Comprehensive Learner
13,16,93,96,35,428,154,Visual Learner
14,88,64,5,291,450,143,Auditory Learner
14,45,59,7,259,369,219,Comprehensive Learner
10,63,9,27,151,460,328,Auditory Learner
9,94,57,14,223,412,271,Auditory Learner
15,27,46,94,134,125,364,Visual Learner
13,49,14,7,228,225,391,Auditory Learner
11,63,8,53,91,551,197,Auditory Learner
16,27,12,5,109,239,135,Auditory Learner
13,85,22,28,204,76,270,Auditory Learner
15,55,32,33,38,185,363,Auditory Learner
13,58,8,6,209,141,317,Auditory Learner
17,4,2,39,300,99,354,Visual Learner
16,53,93,73,191,278,303,Comprehensive Learner
12,43,72,12,235,241,76,Comprehensive Learner
14,41,24,61,89,497,138,Visual Learner
14,71,87,85,215,589,268,Comprehensive Learner
15,91,95,84,104,220,351,Comprehensive Learner
11,56,70,64,123,246,228,Comprehensive Learner
14,46,35,40,96,413,125,Auditory Learner
15,75,88,41,31,434,104,Comprehensive Learner
9,24,19,65,207,526,142,Visual Learner
10,43,80,92,171,300,151,Visual Learner
8,14,53,10,73,393,392,Comprehensive Learner
12,50,99,100,203,107,107,Visual Learner
14,52,89,49,260,170,176,Comprehensive Learner
16,33,18,70,265,163,175,Visual Learner
13,76,59,34,122,522,353,Auditory Learner
16,7,36,93,73,133,253,Visual Learner
10,76,2,79,56,376,280,Visual Learner
9,99,91,78,68,61,349,Auditory Learner
12,69,85,19,277,431,124,Comprehensive Learner
13,95,18,27,79,528,87,Auditory Learner
12,20,52,36,238,69,400,Comprehensive Learner
8,6,45,2,153,482,195,Comprehensive Learner
12,89,79,92,278,317,140,Visual Learner
10,78,55,58,180,535,120,Auditory Learner
14,55,69,100,93,304,167,Visual Learner
13,48,100,72,270,396,198,Comprehensive Learner
11,41,30,26,196,547,276,Auditory Learner
11,22,52,31,269,132,98,Comprehensive Learner
10,51,33,47,78,64,276,Auditory Learner
12,78,30,45,216,521,377,Auditory Learner
14,52,59,94,177,425,328,Visual Learner
11,15,10,46,218,554,348,Visual Learner
14,95,99,89,140,276,134,Comprehensive Learner
11,36,5,39,294,273,161,Visual Learner
11,17,26,2,266,384,386,Comprehensive Learner
12,19,6,74,188,369,160,Visual Learner
10,45,48,28,89,97,75,Comprehensive Learner
11,1,95,90,104,120,252,Comprehensive Learner
10,86,71,57,257,154,265,Auditory Learner
16,93,59,49,183,292,329,Auditory Learner
13,62,32,9,270,572,100,Auditory Learner
11,2,46,60,256,209,227,Visual Learner
13,45,43,98,198,530,279,Visual Learner
12,48,78,60,291,274,42,Comprehensive Learner
12,0,26,22,38,458,45,Comprehensive Learner
14,21,93,5,127,65,299,Comprehensive Learner
14,92,21,74,41,140,140,Auditory Learner
11,13,46,59,100,248,348,Visual Learner
11,91,92,26,164,87,398,Comprehensive Learner
12,84,47,54,288,194,366,Auditory Learner
8,44,29,30,34,364,205,Auditory Learner
9,95,1,29,268,554,203,Auditory Learner
15,5,14,66,128,339,329,Visual Learner
16,64,46,12,180,139,45,Auditory Learner
12,20,26,58,287,450,66,Visual Learner
14,3,70,53,178,74,78,Comprehensive Learner
13,2,26,20,171,282,346,Comprehensive Learner
18,29,84,42,280,325,314,Comprehensive Learner
15,30,12,10,263,379,135,Auditory Learner
12,33,54,66,161,165,383,Visual Learner
11,82,16,37,76,312,201,Auditory Learner
9,19,74,94,123,258,128,Visual Learner
13,86,58,23,278,115,286,Auditory Learner
11,53,9,50,49,466,63,Auditory Learner
10,24,32,75,209,497,192,Visual Learner
11,14,77,60,165,516,371,Comprehensive Learner
10,37,36,45,266,536,389,Visual Learner
16,22,7,42,219,406,282,Visual Learner
14,51,32,26,241,545,237,Auditory Learner
12,65,6,84,93,422,69,Visual Learner
15,56,33,88,193,271,246,Visual Learner
13,56,70,29,67,496,260,Comprehensive Learner
11,78,6,93,244,202,93,Visual Learner
16,51,40,62,48,344,117,Visual Learner
14,34,99,9,283,129,159,Comprehensive Learner
10,73,54,2,103,587,320,Auditory Learner
12,13,6,76,170,369,276,Visual Learner
11,90,83,59,46,322,300,Auditory Learner
10,13,17,26,124,119,41,Visual Learner
14,98,42,81,263,581,119,Auditory Learner
16,32,77,44,117,368,398,Comprehensive Learner
10,51,39,61,80,579,230,Visual Learner
14,0,52,23,274,441,163,Comprehensive Learner
11,33,13,45,142,400,221,Visual Learner
12,18,20,77,37,143,163,Visual Learner
11,23,56,43,66,293,56,Comprehensive Learner
11,3,90,62,76,299,70,Comprehensive Learner
13,35,45,3,129,163,173,Comprehensive Learner
11,76,25,15,202,284,262,Auditory Learner
13,57,90,50,270,338,109,Comprehensive Learner
12,31,23,73,220,452,331,Visual Learner
12,8,4,100,263,488,132,Visual Learner
11,79,41,90,264,461,112,Visual Learner
11,66,91,47,155,105,177,Comprehensive Learner
14,19,42,64,207,573,63,Visual Learner
14,73,31,68,202,235,207,Auditory Learner
11,61,87,76,149,425,297,Comprehensive Learner
13,57,5,44,59,232,315,Auditory Learner
14,21,73,2,77,363,328,Comprehensive Learner
9,66,66,16,208,211,53,Solitary Learner
14,74,6,82,123,410,94,Visual Learner
11,88,28,36,84,151,332,Auditory Learner
14,47,33,4,265,220,255,Auditory Learner
11,7,6,46,103,165,400,Visual Learner
9,72,80,43,151,162,123,Comprehensive Learner
9,14,76,87,86,191,200,Visual Learner
13,31,57,32,168,348,345,Comprehensive Learner
13,52,84,20,228,517,267,Comprehensive Learner
11,66,30,66,238,160,123,Solitary Learner
14,3,72,67,167,80,237,Comprehensive Learner
9,29,44,31,163,308,239,Comprehensive Learner
12,12,46,23,45,251,374,Comprehensive Learner
10,20,76,34,132,372,381,Comprehensive Learner
11,40,80,17,272,227,218,Comprehensive Learner
13,18,71,66,119,230,228,Comprehensive Learner
11,47,72,53,33,275,195,Comprehensive Learner
12,85,72,25,91,568,267,Auditory Learner
15,62,39,59,241,233,395,Auditory Learner
11,19,29,87,277,595,211,Visual Learner
14,63,61,64,221,467,250,Visual Learner
10,36,70,50,85,560,96,Comprehensive Learner
14,30,16,97,60,197,193,Visual Learner
15,73,4,59,30,158,64,Auditory Learner
8,17,80,58,227,116,310,Comprehensive Learner
11,19,0,75,74,306,241,Visual Learner
14,81,79,16,76,166,398,Auditory Learner
12,10,80,84,251,107,137,Visual Learner
13,85,93,20,110,345,116,Comprehensive Learner
11,43,30,66,218,105,399,Visual Learner
13,81,34,27,68,455,360,Auditory Learner
12,63,71,88,112,179,150,Visual Learner
15,33,29,43,205,119,162,Visual Learner
13,86,84,69,38,206,93,Auditory Learner
13,64,14,61,287,556,245,Auditory Learner
12,54,97,41,290,177,206,Comprehensive Learner
12,73,55,93,209,296,315,Visual Learner
12,0,59,95,183,277,128,Visual Learner
13,37,26,21,44,183,50,Auditory Learner
12,8,1,37,96,322,91,Visual Learner
13,94,73,13,216,229,252,Auditory Learner
17,70,63,97,92,451,93,Visual Learner
14,16,4,25,70,209,286,Visual Learner
12,98,90,39,57,305,108,Auditory Learner
15,100,67,53,250,560,46,Auditory Learner
12,51,12,12,246,250,179,Auditory Learner
8,17,80,93,251,233,398,Visual Learner
10,62,84,18,90,231,263,Comprehensive Learner
9,32,22,41,132,397,108,Visual Learner
12,3,96,40,214,470,386,Comprehensive Learner
13,86,49,49,176,129,390,Auditory Learner
16,74,78,2,104,157,243,Comprehensive Learner
13,51,77,30,30,576,160,Comprehensive Learner
12,8,72,75,191,244,331,Visual Learner
14,63,36,14,46,472,316,Auditory Learner
8,29,29,53,272,437,348,Visual Learner
13,7,92,52,48,71,293,Comprehensive Learner
14,4,22,44,88,468,186,Visual Learner
10,75,33,37,230,477,42,Auditory Learner
15,62,63,77,144,390,227,Visual Learner
13,0,54,98,232,339,376,Visual Learner
12,14,70,79,60,174,389,Visual Learner
14,88,8,49,223,269,139,Auditory Learner
17,81,3,23,135,506,196,Auditory Learner
13,37,65,16,155,453,241,Comprehensive Learner
13,41,90,17,132,240,224,Comprehensive Learner
12,45,32,41,192,524,368,Auditory Learner
11,52,31,16,150,87,79,Auditory Learner
14,25,43,15,269,252,345,Comprehensive Learner
11,60,36,84,124,315,242,Visual Learner
13,66,90,87,237,483,186,Comprehensive Learner
12,53,91,97,178,150,281,Visual Learner
13,21,66,51,222,204,218,Comprehensive Learner
13,25,59,35,171,511,88,Comprehensive Learner
15,82,58,90,230,487,219,Visual Learner
11,59,35,38,191,301,189,Auditory Learner
12,38,48,80,138,545,278,Visual Learner
11,35,50,24,292,90,355,Comprehensive Learner
12,20,7,41,239,119,247,Visual Learner
13,40,49,20,178,535,248,Comprehensive Learner
14,47,40,67,285,160,286,Visual Learner
11,25,100,88,228,332,46,Comprehensive Learner
14,62,37,58,215,537,158,Auditory Learner
15,76,85,29,194,117,70,Comprehensive Learner
13,35,77,56,137,564,388,Comprehensive Learner
16,23,78,32,112,446,46,Comprehensive Learner
11,89,54,89,109,520,274,Social Learner
10,20,67,88,282,104,320,Visual Learner
9,17,17,52,54,350,328,Visual Learner
15,14,64,15,80,317,134,Comprehensive Learner
14,78,63,48,137,305,383,Auditory Learner
12,5,11,87,267,299,77,Visual Learner
13,42,40,4,215,472,165,Auditory Learner
10,30,41,76,109,187,299,Visual Learner
17,27,59,93,125,335,215,Visual Learner
13,7,49,59,179,477,140,Visual Learner
13,28,80,70,35,266,356,Comprehensive Learner
14,20,82,80,51,424,232,Comprehensive Learner
13,80,35,54,249,405,120,Auditory Learner
13,87,47,90,41,219,373,Visual Learner
11,57,70,34,221,155,100,Comprehensive Learner
